id,n_of_stars,date,text
1al,5.0,"jul 11th, 2020","4 days T2D, really good on stealth and packaging."
1al,5.0,"jul 10th, 2020",Great deal!!
1al,5.0,"jul 9th, 2020",A+++++
1al,5.0,"jul 9th, 2020",This is a deal if you deal...didn't plan that...lol...really high quality flower!!! Ordered 10 more just now!!!
1al,5.0,"jul 8th, 2020",5/5 will be back soon
1al,5.0,"jul 7th, 2020",Packaging is legit! Haven't had a chance to try it
1al,5.0,"jul 7th, 2020",got lemochello smells just like lemons will update
1al,5.0,"jul 6th, 2020",Had issues and customer service contact was very good. Great Shipping speed as well.
1al,5.0,"jul 4th, 2020","No complaints on my side. Packaging was on point, fast shipping which was really fast, not just hyped words. Gave me a little somehing extra, respect VF.  Good pricing, this won't be the last time copping from this vendor."
1al,5.0,"jul 2nd, 2020",ALways a pleasure
1al,5.0,"jul 2nd, 2020","Went to this vendor to try things out. The packaging was great, however the smoke left a bad taste in my mouth. also I thought I would get multiple strains but other than that"
1al,5.0,"jul 1st, 2020","this is sum fire, preciate you an ya service nvm about the pm the mail man almost ran off w the pak 10/10 comin back fosho"
1al,5.0,"jun 30th, 2020","HOOOOOOLEEEE SHITTTT. What the fuck are other vendors even doing in this game when VH is out here slinging straight GASSS. Fuck. That Peanut butter breath is absolutely amazing. Im lost for words trying to write this because it was so good. I wish ValleyHeat sold more bud because this is far better price:quality than any other vendor, bye!"
1al,5.0,"jun 29th, 2020",fast!
1al,5.0,"jun 29th, 2020",Always fire bud with super fast shipping and great stealth!
1al,5.0,"jun 29th, 2020",<3 thank you for consistently fast shipping and a quality  product
1al,5.0,"jun 28th, 2020",awesomeness!
1al,5.0,"jun 27th, 2020","Package came on the 5th day. Great bud, smells great."
1al,5.0,"jun 27th, 2020","HOLY Sh*t! being EC I am used to I guess subpar smelling/tasting green? because this stuff rocks!! Absolutely love all the flavors, and cannot wait to order another batch!"
1al,5.0,"jun 26th, 2020","Came fast af and got a good variety, thanks VH!"
1al,5.0,"jun 26th, 2020",Going To Update If Legit <3.
1al,5.0,"jun 26th, 2020","As always excellent! At first I was like why they call it peanut butter breath. Then I blew out and said, okay."
1al,5.0,"jun 26th, 2020",Another good experience with this vendor. I didn't get the exact strains in the qty I asked but I got an extra item so it balances.
