id,n_of_stars,date,text
9t3,5.0,"apr 2nd, 2020","Fantastic golden color. Super sticky, a little difficult to work with but very nice flavor. Fast shipping! Great stealth."
9t3,5.0,"apr 2nd, 2020",Great
9t3,5.0,"apr 2nd, 2020","4 days including weekend. got 29 grams and about 7 or 8 strains and met all my order requests. Really stand up vendor! The wax is a bright golden yellow and slightly opaque, but super terp, flavorful, smooth and POTENT!  everyones been saying it's some of the best shatter they've had this year so far, and I've gone through at least 3 lbs worth from different batches and vendors. Flipped for $40/g EASY! 266% ROI.  Thanks Boss!! Look for Review in Treehouse!"
9t3,5.0,"apr 2nd, 2020",fuego
9t3,5.0,"mar 31st, 2020",Small hiccup with my order but VH was on it as always and quick to fix me up. VH is the best of the best.
9t3,5.0,"mar 30th, 2020",various colors but overall looks good
9t3,5.0,"mar 30th, 2020","Crazy fast 3 day shipping during corona, with good terps preserved. Not harsh, SUPER pleased at 20/each for wax. His josh wax is off the hook, seabiscuit a2 dabs like a dream"
9t3,5.0,"mar 28th, 2020",Super quick
9t3,5.0,"mar 27th, 2020","Awesome transaction, great product, comms, stealth.. Perfect all the way!"
9t3,5.0,"mar 26th, 2020","Crazy fast shipping, great stealth as usual, thx valley"
9t3,5.0,"mar 26th, 2020","I recieved a different product but ValleyHeat came in clutch with the Reship!! Will update once I recieve The Shatter. Quality is always superior, Look no further Valleyheat will never disappoint."
9t3,5.0,"mar 26th, 2020","thanks love the selection super stoned off the SFV OG, cant wait to try out some more of your products!"
9t3,5.0,"mar 21st, 2020","Vh completely hooked it up, this my go-to. 2 days cross country and fire af."
9t3,5.0,"mar 19th, 2020","Good Wax, wouldn't say shatter. Taste Good. Little darker then I thought would be. Shipping was LONG ASF"
9t3,5.0,"mar 18th, 2020",Thanks valleyheat for this fire shatter. If bitcoin drops to 0 in a appocolypse valleyheat got you! Great stealth too thanks for the promo!
9t3,5.0,"mar 17th, 2020",Love this vendor
9t3,5.0,"mar 17th, 2020","fast shipping and responses, good tasting shatter."
9t3,5.0,"mar 17th, 2020",Quality product for the price. VH never disappoints. Will be back to check out the new strains soon. Thanks VH!
9t3,5.0,"mar 17th, 2020","Order arrived intact.   The drop got quarantined, ill update in 14 days with quality reports."
9t3,5.0,"mar 15th, 2020","got 7 strains, very nicely packaged, very good smell, very good color, only downside is not all of them are actual shatter. some strains are more of a pull n snap. But dont let that discourage you from ordering. very fast shipping and excellent value if you have customers that are picky but dont want to pay top tier prices.."
9t3,5.0,"mar 14th, 2020","Fast dependable shipping from VH. Decent product, but very sticky. Hard to handle."
9t3,5.0,"mar 14th, 2020",How do you ship so fast? Stealth is great. Another great product from VH and Cannamart. Grammed out packaging is very sleek and appealing. Opened 1 and tested. Got blasted on some cherry pie. VH sent a nice selection of strains. I'll have no trouble flipping this for double. Warm when received but firmed up nicely. Darker amber with an inviting nose.
9t3,5.0,"mar 13th, 2020",Fire Wedding Cake
9t3,5.0,"mar 12th, 2020","FE because of BTC Drop - Golden, Stable, and Terpy"
9t3,5.0,"mar 12th, 2020",Ice Cream Cake is absolutely gas but the SFV and Captains Cookies and Cherry Pie left something to be desired. Everything amber and unstable but the quality is there.
9t3,5.0,"mar 10th, 2020",Valley is the man 10/10. Quick and for the price this shatter is unbeatable for daily dabbing.
1od,5.0,"sep 1st, 2020","good product, takes a little while to process and ship but always lands"
1od,5.0,"aug 31st, 2020",Nothing compares to the service and quality. Much love.
1od,5.0,"aug 27th, 2020","fire as always, great quality and fast shipping. my go to"
1od,5.0,"aug 25th, 2020",baffled 10/10
1od,5.0,"aug 24th, 2020","This was probably some of the best wax I have ever had. I will definately be coming back for more. Shipping was insanely fast even with the mail being slow, quality is great and hits pretty hard. I had some personal stuff come up so sorry about the delay with the funds. Overall I'm very happy. Thank you!"
1od,5.0,"aug 22nd, 2020","Gas, will be back."
1od,5.0,"aug 22nd, 2020",so fast i thought dude moved across the street.. product always top notch
1od,5.0,"aug 19th, 2020",Always Fire. The Doc is my go to.
1od,5.0,"aug 17th, 2020",Great product at a fair price and quick delivery. Thanks Doc!
1od,5.0,"aug 17th, 2020",Quality product for the price not as stable as I would like but it is fire none the less will def shop again.
1od,5.0,"aug 14th, 2020",Fastest fucking ship ever and quality as always is perfect
1od,5.0,"aug 14th, 2020",5 star
1od,5.0,"aug 12th, 2020",fier
1od,5.0,"aug 11th, 2020","Super fast and stealthy. It was all there. Great product, keep coming back to the same dude with all this variety!"
1od,5.0,"aug 4th, 2020",strong GG profile/nose in the high quality slab - cant wait to toke before bed. doc is one of the best!
1od,5.0,"aug 4th, 2020",Other than the heat fucking with it Im digging the oil
1od,5.0,"aug 2nd, 2020",FAST!
1od,5.0,"jul 30th, 2020","Updated Review: 3 Days T2D, Great Stealth, Awesome quality and super pungent resiny shatter. Weighed on point :) Dabbed it and hits smooth and great, and pretty tasty too. Awesome as always thank you."
1od,5.0,"jul 20th, 2020",Gassssss
1od,5.0,"jul 18th, 2020",cant wait to dab up some gorilla glue.
1od,5.0,"jul 16th, 2020",fire
1od,5.0,"jul 16th, 2020",Flawless as always
1od,5.0,"jul 14th, 2020",Thank you.
1od,5.0,"jul 13th, 2020","Excellent quality as always. Requested a mix-and-match, the good doc accommodated and send exactly what was requested. I have done several orders with the doc and am now officially a loyal customer."
1od,5.0,"jul 6th, 2020","always love this stuff, dabs great. gets me hella baked"
1od,5.0,"jul 4th, 2020","GREAT PRODUCT!!!
thanks so much for all that you do my friend!!"
1od,5.0,"jul 3rd, 2020","Satisfied, both flavors smoke great!"
1od,5.0,"jun 27th, 2020",Best customer service on the DN.
1od,5.0,"jun 19th, 2020",I got worried for a second with a mail delay but they were so understanding about it. It showed up less than a day later. Patience is a virtue ya'll.
1od,5.0,"jun 17th, 2020",So took a min to get out but it was dropped off Monday and just got here at 9 am Wed..got here so quick it didn't even get scanned. Stuff looks and smells amazing.
1od,4.0,"jun 16th, 2020",Shipping took a minute to get to the east coast. accepted on the 9th but not dropped until the 12th. shatter looked and felts amazing. smells like lemon. Taste was a little off--idk if it is so much lemon i get a weird taste or what--but the high is great. you will feel this dab for sure. Great vendor as always. will be back
1od,5.0,"jun 16th, 2020",5/5 good shatter top quality
1od,5.0,"jun 15th, 2020",good stealth
1od,5.0,"jun 11th, 2020",My new go-to guy for shatter. Always great :)
1od,5.0,"jun 10th, 2020",Clear as glass
1od,5.0,"jun 7th, 2020","FIRE!!!!!
A+++++++++++
THANKS FOR ALL THAT YOU DO DR.!!!!!!!"
1od,5.0,"jun 5th, 2020",FIRE dabs. loved these
1od,5.0,"jun 3rd, 2020","wow beautiful looking shatter , clear more than golden , tastes delicious very stable"
1od,5.0,"jun 2nd, 2020","10/10 would shop again, product looks and taste amazing!"
1od,5.0,"may 30th, 2020",Perfect order. Will be back
1od,5.0,"may 28th, 2020",Great price for what you get
1od,5.0,"may 26th, 2020",Again the product is stunning in taste and effects. It is some of the best quality I have bought and I couldn't be happier. The Doc is a great business to come to. He is super fast with shipping and the stealth was perfect!! You will be treated like a real person here. Thanks Doc!!!!
1od,5.0,"may 26th, 2020",4 days T2D. Always fire.
1od,5.0,"may 25th, 2020",always amazing.
1od,5.0,"may 23rd, 2020","Top notch speed and stealth. Nice, clean product!"
1od,5.0,"may 21st, 2020",Great Stuff as always!
1od,5.0,"may 20th, 2020",Best strain I've tried yet!!!! Huge fan of the quality for price.
1od,5.0,"may 15th, 2020",Doc is by far the best vendor for Shatter. Finally tried every strain available and they were all awesome. GG#4 and Wedding cake are my favorite. Pull and snap every time. Stable as fuck at room temp. Taste is beautiful. 3DD usually 2DD but still awesome speed with all this bull shit going on. Thanks Doc Cya soon
1od,5.0,"may 15th, 2020",Fast asf. Didn't realize it came.
1od,5.0,"may 14th, 2020",5 star service as usual
1od,5.0,"may 13th, 2020",Super fast shipping . A+ probuct
1od,5.0,"may 12th, 2020","Product received is a sugary (grainy, sandy, whatever term you prefer) crumble, not a solid shatter. But quality is high and it will all get used with pleasure. 7 days T2D, not great but nothing to complain about in the current situation. Stealth was top notch, multi layered. Overall, good experience and won't hesitate to return for future orders."
1od,5.0,"may 12th, 2020",Great stuff. Far more yellow than the pic (great!) and very stable. Could fill my 2 slics and didn't get any on my hand like I would with wax. Certainly tastes like GG4 too. I'll be back I am sure
1od,5.0,"may 12th, 2020",Great product. High potency and great flavor! Takes shipping seriously and discreetly.
1od,5.0,"may 12th, 2020",Fantastic as usual. I have now tried all of docs shatter strains and this GG is my second favorite with the dosido being number 1. This GG is much more on the kushy side. Doesn't have the chocolate diesel terps that are traditional with GG but it does have some super sweet lip smacking kushyness to it.
1od,5.0,"may 10th, 2020","Arrived a couple days late, but that's to be expected right now. Shatter held it's viscosity. Really light amber colored, great taste, and was a little heavy. Appreciate you!"
1od,5.0,"may 8th, 2020",Gorilla Glue Slabs MUY FUEGO
1od,5.0,"may 6th, 2020",Took 2 weeks good comms though said it would come with extra but still weighed 8 grams.
1od,5.0,"may 6th, 2020","fantastic taste, light coloring, very stable, overweight. great experience."
1od,5.0,"may 6th, 2020",Awesome as always
1od,5.0,"may 5th, 2020",Always gas
1od,5.0,"may 4th, 2020",found my new vendor for concentrates! super fire thanks
1od,5.0,"may 4th, 2020","Combined order with SD shatter. High quality, quick delivery and my guy why the fuq are u still reading this. Shit is spaceship fuel but u get stuck on your couch. Just tell yourself you driving your own spaceship and idk maybe watch Space Jam with the real G.O.A.T. Michael Jordan?"
1od,5.0,"may 1st, 2020",Boom boom. Awesome as always! Putting in another order right now :)
1od,5.0,"apr 28th, 2020",Super stable and nice and terpy! Good smoke
1od,5.0,"apr 25th, 2020",Holyshit-ballz...2DT2D!! :o And that amazing Doctor GT-waxy-dabba-dabba-goodness! :P Hell yeah - thank you for making this quarantine a lil' more bearable Doc! The GG is fire...A++++++++!
1od,5.0,"apr 21st, 2020","Terps tasted like pine, extremely clean tasting"
1od,5.0,"apr 20th, 2020","Had some complications where a package was switched or something. But vendor made it right. No need for a harsh review. Awesome, terpy, DAB!"
1od,5.0,"apr 19th, 2020",***************5TY)
1od,5.0,"apr 18th, 2020","3 day shipping, dabs smell good and get me more high than this sugar wax I get."
1od,5.0,"apr 17th, 2020","Fire shatter, quick shipping speed. 10/10"
1od,5.0,"apr 8th, 2020",Perfect as always!
1od,5.0,"apr 6th, 2020",Excellent - thanks
1od,5.0,"apr 3rd, 2020","Love Drgreenthumbs customer service, product quality,  stealth and speed!
A++++++++++++ 
everything has always been straight up when dealing with him!
 AND I'M KINDA HARD TO PLEASE (JUST SAYING)"
1od,5.0,"apr 3rd, 2020",I would give an A+ to Doctor
1od,5.0,"apr 3rd, 2020","This is a really great value. Looks great, smells super terpy, tastes great and the shit is smooooooth, potent too. Consistency is a little runny, but I assume it's due to heat from shipping. Easily some good head smoke and an easy flip. Thank thank thank dr."
1od,5.0,"mar 30th, 2020","YUMMMM MOTHERFUCKER THIS SHIT IS FUCKING BOMB.  I liked this more than the Cheery Pie I got last time, but I also got the Dos this go and I LOVE THE FLAVOR OF THAT SHIT.  GG IS TITS BUT DOS IS MY FAV.... need to try the rest of them flavaaas"
1od,5.0,"mar 29th, 2020","Original order i was very unsatisfied with. Iffy quality at a decent price. I left an honest review and reached out to the vendor for a reshipment. After days of nothing i left a one star review and he reached out to me and offered a reshipment of ""a few grams of wax and a gram of diamonds."" that is what i got as a reshipment. I was hoping to get what i ordered reshipped but oh well. If it was more id be 5 stars but ill be happy with what i got. Thanks"
1od,5.0,"mar 26th, 2020",Great stuff! drgreenthumb always rocks.
1od,5.0,"mar 13th, 2020",5 days T2D nice shatter good price
1od,5.0,"mar 7th, 2020","fast service, fantastic product, smells great and smooth"
1od,5.0,"mar 5th, 2020",5 Stars for a great product as always! My main go to!!
420,5.0,"aug 26th, 2020","This is some pretty good shatter for being ""budget"" quite honestly. It has a good taste and the high is creeping up on me as I type this. Five days T2D which isn't bad with the current state of USPS and the darknet in general."
420,5.0,"aug 19th, 2020",thanks !
420,5.0,"aug 17th, 2020",Good shit like always
420,5.0,"aug 10th, 2020","despite it being labeled budget, hits just as good as some top quality products."
420,5.0,"aug 6th, 2020","Stuff ALWAYS comes. 16 T2d to SE Asia! I'd say this budget stuff is on par with his other mid-priced shatter, great taste and definitely gets you there."
420,5.0,"aug 6th, 2020",Great product for the price and will defnitely be back. 7 day TTD with good stealth.
420,5.0,"aug 5th, 2020",REally good shit
420,5.0,"aug 5th, 2020",FIRE!!!
420,5.0,"aug 4th, 2020",Nice consistency
420,5.0,"aug 1st, 2020","always a regular with this vendor here, quality is always top notch every time and worth the wait."
420,3.0,"jul 30th, 2020",order hasn't arrived within the quoted time. vendor upheld his end on the refund policy.
420,3.0,"jul 30th, 2020","My first review under 5, not quite scammed but sure feels like it.BUYER BEWARE: My exact experience: I ordered over 2 weeks ago, I received half of what I ordered in more than 4x the time so be aware of that. I talked to the vendor after 2 weeks of nothing showing to no fault of my own, the vendor agreed to a reship and sent me only .5 of what I ordered, product is as advertised but if I had known it would take this long for less than a gram I would have went elsewhere. Save yourself the stress."
420,5.0,"jul 21st, 2020","Budget did not actually mean less quality with this one, nice and potent for sure!!"
420,5.0,"jul 19th, 2020",DS always delivers! I am in the south and this is probably the 4th order this summer.  shatter always maintains consistency.  Love this vendor!
420,5.0,"jul 18th, 2020",Good budget shatter. Will def be ordering again very stealthy and blends in well with your bills.
420,5.0,"jul 16th, 2020",FE
420,5.0,"jul 13th, 2020",Always fast. Always reliable. Always Stealth. I love to drop extra coin on this vendor. These guys do it right and the concentrates are on point. No one else does it this way on here. Love the small amounts!
420,5.0,"jul 8th, 2020","Even better stuff than before, the wax is very stable and i thought the heat would get to it from summertime. nope perfectly stable :)"
420,5.0,"jul 8th, 2020",A pleasure as always
420,5.0,"jul 6th, 2020","this man has genuinely provided me the most amazing high i have ever had continualllyyyyy you get more than ur moneys worth bc i promise the product quality  is probably one of the most fire, if not the best you'll have DankServices fuckin delivers get wit it bruhs rn like rn rn its fuckin lit and the price on this beyond cheap for quality"
420,5.0,"jul 2nd, 2020","6DTD, a little longer than usual but we're in a pandemic right now. product was slightly overweight. Always a good experience with DS. Will be back for sure. This wax is a great budget buy."
420,5.0,"jul 2nd, 2020",Awesome as always!
420,5.0,"jul 2nd, 2020",Smells really good and hits like a truck. Stealth was really nice too.
420,5.0,"jun 29th, 2020",Good
420,5.0,"jun 28th, 2020",Top Quality Product Secure Shipping to France The king for Concentrate
420,5.0,"jun 28th, 2020","Great product at a great price, fast shipping within domestic USA. Will buy again :)"
420,5.0,"jun 20th, 2020",Amazing Product and Great vendor!
420,5.0,"jun 16th, 2020",Bang for buck. Very fast shipping and smokes good. Don’t hesitate to buy!!!
420,4.0,"jun 16th, 2020",Tastes funky..... but its fuckin 16 bucks bro.. Niggas would still pay 30 for it watch.
420,5.0,"jun 12th, 2020",good stuff thanks
420,5.0,"jun 12th, 2020",Perfect as always never had a complaint
420,5.0,"jun 10th, 2020",13 Days Tor2Door to South EU. Perfect stealth and quality as usual.
420,5.0,"jun 10th, 2020","Fast shipping as usual Top Quality Thanks a lot
Best seller for concentrate"
420,5.0,"jun 9th, 2020",DS the goat
420,5.0,"jun 5th, 2020",Always FE for my boi DS
420,5.0,"jun 2nd, 2020","Super fast, dank, and stealth as always/. always FE or Direct buy. very trusted vendor."
420,5.0,"may 27th, 2020","As always super fast, and great price. Always FE super trusted!!!!!"
420,5.0,"may 18th, 2020","Great value. Order arrived in good time,  Thanks"
420,5.0,"may 14th, 2020",Quick delivery. Product is as described and surprisingly potent. Taste and Consistency was to be as expected. Will do business again. Thanks Dank!
420,5.0,"may 13th, 2020",Great stuff and got here quickly considering the situation. Thank you very much will be back for more very shortly!
420,5.0,"may 12th, 2020",FE
420,5.0,"may 9th, 2020",Real deal thanks a lot bro I appreciate it
420,5.0,"may 7th, 2020","3DD! Good Quality, gets you high! Will be a longtime customer"
420,5.0,"apr 26th, 2020","Amazon fast shipping, great stealth. The quality for the price on this was amazing, I almost wonder if he accidentally sent me a different type of wax. I would absolutely buy again. Great value."
420,5.0,"apr 23rd, 2020",da Real one rasta mon
420,5.0,"apr 23rd, 2020","Quality: Good
Shipping: 4DD
Price Value: good, even threw in a littl extra."
420,5.0,"apr 21st, 2020",Good quality product :)
420,5.0,"apr 21st, 2020",Made many orders with DS over the last couple years. Always ships fast and arrives within 4-5 days for me. Always great product too!
420,5.0,"apr 21st, 2020",Good one
420,5.0,"apr 18th, 2020","Good quality product, delivered in time! :)"
420,5.0,"apr 18th, 2020","All I can say is WOW! Didn't expect to get it so quick! Place on 18th, arrived 21st. 
First time ordering, will definitely be back for more! Great pricing, good taste, SUPER HIGH RIGHT NOW :D Thank You Dank!"
420,5.0,"apr 17th, 2020",All ok
420,5.0,"apr 17th, 2020","Came in very quickly, super stealthy packaging. Wax consistency was similar to paste."
420,5.0,"apr 16th, 2020",thank u bro
420,5.0,"apr 13th, 2020",Stelar
420,5.0,"apr 11th, 2020",This vendor has always done right by me.  His stealth is one of the most clever i've seen.
420,5.0,"apr 10th, 2020",Perfect as always!
420,5.0,"apr 10th, 2020",DS always comes through. Been following them throughout different markets. Thanks for the service through these times!
420,5.0,"apr 9th, 2020",solid
420,5.0,"apr 9th, 2020","Solid stealth. Not sure what I got but it wasn't shatter, almost like it sugared up, was still pretty decent. Got me high, didn't taste bad, 100% worth it."
420,5.0,"apr 6th, 2020",honestly tastes like some shit a local guy was selling as top shelf lol not bad
420,5.0,"apr 6th, 2020",I have literally been walking around with boners all day... my wife had to punch it to make it go down....
420,5.0,"apr 2nd, 2020",A+
420,5.0,"mar 31st, 2020",Fast not stable pretty good though
420,5.0,"mar 31st, 2020","great quality for the price, great stuff."
420,5.0,"mar 30th, 2020",All good from usa
420,5.0,"mar 29th, 2020",perfecto
420,5.0,"mar 25th, 2020",excellent like always
420,5.0,"mar 25th, 2020","Great price, quick shipping, can't go wrong :)"
420,5.0,"mar 25th, 2020","Super fast shipping and Very Nice shatter , oily but super tasty chemdawg .
7 Days TTD to EU"
420,5.0,"mar 25th, 2020",Wonderful product. I'm very satisfied and will be a repeat customer for sure! Thanks!!
420,5.0,"mar 25th, 2020",Always pulls through! Thank you!
420,5.0,"mar 24th, 2020","Good shit, took a week for delivery"
420,5.0,"mar 20th, 2020",Delicious
420,5.0,"mar 18th, 2020",Amazing stuff <3 will be back :)
420,5.0,"mar 18th, 2020",Ggoood
420,5.0,"mar 18th, 2020",Good
420,5.0,"mar 18th, 2020",Good
420,5.0,"mar 14th, 2020","Last time was glass , super budget shatter , i love it too"
420,5.0,"mar 11th, 2020",Really good
420,5.0,"mar 9th, 2020",good product all good shipping package 5/5 thanks dank and see you soon
420,5.0,"mar 9th, 2020","If you're worried about direct pay, don't be. I've always gotten my stuff and gotten it really quickly. My go to!"
420,5.0,"mar 7th, 2020",Fast ship and good quality shatter
420,5.0,"mar 6th, 2020",Stealth & Speed from this vendor is top notch! 5/5
420,5.0,"mar 3rd, 2020",Good
8t4,5.0,"aug 28th, 2020","3DTD, arrived very sugary.  Will probably go back to the blue dream."
8t4,5.0,"aug 25th, 2020",Arrived as a sweet dank beautiful sugar.  Reminds me of Hash PLant smell
8t4,5.0,"aug 5th, 2020",Very stable.
8t4,5.0,"jul 6th, 2020","this man has genuinely provided me the most amazing high i have ever had continualllyyyyy you get more than ur moneys worth bc i promise the product quality  is probably one of the most fire, if not the best you'll have DankServices fuckin delivers get wit it bruhs rn like rn rn its fuckin lit"
8t4,5.0,"jun 30th, 2020","quick, great stealth, gorgeous concentrates - fuck yeah ill be back!"
8t4,4.0,"jun 26th, 2020","Package came quick, good stealth. Not real terpy but smooth and potent."
8t4,5.0,"jun 24th, 2020",top class again
8t4,5.0,"may 13th, 2020","Perfect transaction. Speed, quality, and opsec."
8t4,5.0,"may 1st, 2020",Fast Shipping!
8t4,5.0,"apr 15th, 2020",Super quick. Stable and tasty.
8t4,5.0,"apr 15th, 2020",Too unstable for this price.
8t4,5.0,"apr 9th, 2020","Wow this is some seriously FIRE shatter! Everything is on point, especially the taste and visual appeal. It hits smooth, tastes like candy and is nice and potent. Thank you for the gas Dank!"
8t4,5.0,"apr 6th, 2020","Worth every penny, this is great stuff. Awesome vendor. Value, quality, stealth, service and speed. Thank you very much!"
8t4,5.0,"mar 31st, 2020",Great as usual. Will be back.
8t4,5.0,"mar 27th, 2020","3 days T2D, smell is good, looks like pic but a bit more yellow & clear, very strong head high, also euphoric & relaxing, fantastic strain. Thanks DS"
8t4,5.0,"mar 25th, 2020",Fast shipping. amazing quality
8t4,5.0,"mar 25th, 2020",Excellent service and delivery super fast.
8t4,5.0,"mar 7th, 2020",Exactly as described. Arrived quickly with excellent Opsec. Would order again. Please keep up fine work!
1jx,4.0,"aug 29th, 2020","very quick shipping, very nicely packed. overall happy with the transaction. product can use improvement.(texture was sugar like)
Thanks either way."
1jx,5.0,"aug 28th, 2020",Great stuff
1jx,5.0,"aug 28th, 2020","Fast shipping, fantastic stealth and great product."
1jx,5.0,"aug 28th, 2020",Vendor is awesome. Product is also.
1jx,5.0,"aug 27th, 2020","Sugary consistency, great taste, great high, clean on the nail. A+
Free sample also appreciated, thanks!"
1jx,5.0,"aug 27th, 2020",came fast & looks good
1jx,5.0,"aug 25th, 2020",Very fast shipping. Seems like solid quality for the price.
1jx,5.0,"aug 25th, 2020","the product quality quick delivery
is all the reason to go with OV... he used to have A shatter
type snap and pull... but this sugar crumble is much better..
plus he threw in A sample of grape batter... excellent shit..."
1jx,5.0,"aug 20th, 2020",Smells great
1jx,5.0,"aug 20th, 2020",Amazing for the price with amazon shipping speed
1jx,5.0,"aug 20th, 2020","This stuff is also good. Tried one last time and very good quality.  Came back for more. Def good stuff a little sandy but stable. Packaging & stealth is perfect & fast shipping. Thank you OV, I'll back real soon!"
1jx,5.0,"aug 19th, 2020",quick shipping...good product
1jx,5.0,"aug 18th, 2020","I swear that the DNM has faster shipping times than Amazon, at least OV does"
1jx,5.0,"aug 15th, 2020","Amazing quality, great stealth, and EXTREMELY fast shipping. Will definitely return to this vendor."
1jx,5.0,"aug 15th, 2020",A++++
1jx,5.0,"aug 14th, 2020",fast and dank. what more could you ask for
1jx,5.0,"aug 13th, 2020","I didn't intend to allow this to expire, but product just arrived. Exactly as advertised. A+++++ 10/10 Highly recommend! THANK YOU"
1jx,5.0,"aug 11th, 2020","always A pleasure receiving these
in the mail excellent stealth...
quick shipping and A great product ...Cheers..."
1jx,5.0,"aug 8th, 2020","Perfect, thank you"
1jx,5.0,"aug 8th, 2020",Good stuff.
1jx,5.0,"aug 2nd, 2020",not shatter but still a 5/5 product. I am not picky and this did the deed and then some. Order confidently! the real dealskee!
1jx,5.0,"jul 30th, 2020",Great stuff
1jx,5.0,"jul 30th, 2020",good stuff very tasty....
1jx,5.0,"jul 30th, 2020","wow, this was really goood stuff, hits better than anything I've had in the past, as far as this price range goes."
1jx,5.0,"jul 29th, 2020",A little sugary but excellent terpy taste. 6 days T2D. OV knows his shit.
1jx,5.0,"jul 26th, 2020","Another great purchase! Quality of the shatter looks great. Haven't tried it yet, but haven't been dissapointed with anything. Packaging is very professional. Great stealth, no odor, very good vendor. Thank you OV!"
1jx,5.0,"jul 25th, 2020",Excellent!
1jx,5.0,"jul 24th, 2020",good stealth and speed
1jx,5.0,"jul 24th, 2020",Legit...consistently legit. OV has come through for years.
1jx,5.0,"jul 23rd, 2020","OV has been my go-to for some time now. Super solid and fast as USPS can be in this climate. Really liking this batch of shatter, much cleaner than others I've had from the markets."
1jx,5.0,"jul 23rd, 2020",great vendor
1jx,5.0,"jul 21st, 2020",sugary goodness.
1jx,5.0,"jul 21st, 2020",Some of the best shatter I have tried very stable and wonderfully potent. You won't be disappointed getting some.
1jx,5.0,"jul 20th, 2020",Great as always
1jx,5.0,"jul 17th, 2020",really nice and fast
1jx,5.0,"jul 17th, 2020","Good nose, nice flavor, smooth hit"
1jx,5.0,"jul 16th, 2020",Another flawless order from OV with extras!
1jx,5.0,"jul 15th, 2020","Great vendor, unbeatable shipping and prices. thanks again"
1jx,5.0,"jul 15th, 2020",Always speedy and high quality :)
1jx,5.0,"jul 14th, 2020",I'm not sure about this guy's feet comment. I've got 4 with the consensus that it gave us all an immediate head high. So I'm happy with it for sure.
1jx,5.0,"jul 12th, 2020",Excellent Customer Service
1jx,5.0,"jul 8th, 2020",awesome thank you 10/10
1jx,5.0,"jul 7th, 2020",Prompt order and delivery experience coupled with tasty product and a nice extra.  Thank you!
1jx,5.0,"jul 7th, 2020",Very good quality shatter even during this heat it was still nice and stable when arrived. Some very strong shatter with a wonderful taste. Shipping speed and stealth were great as well. Also threw in some crumble that was unexpected but very appreciated and was just as good as the shatter.
1jx,5.0,"jul 7th, 2020",Great :)
1jx,5.0,"jul 4th, 2020","Sugary shatter, have it in freezer right now. Would cop more ^_^"
1jx,5.0,"jul 3rd, 2020",Wax was fine
1jx,5.0,"jul 2nd, 2020",Great stuff as always! Also thank you for the extra gift!
1jx,5.0,"jul 2nd, 2020",legit smells like fresh squeezed oj 10/10 top 5 on wax flavor I have had
1jx,3.0,"jul 2nd, 2020","Okay this is the only product out of my whole order that I can say let me down. I tried the crumble right before the shatter and thought it would have that same great taste, but sadly after having myself and 3 other roommates try it we all agree it tastes like feet smells and for some reason my brain cant get passed it. Maybe wait for the next batch?"
1jx,5.0,"jun 30th, 2020",This batch wasn't as good as the last one.
1jx,5.0,"jun 30th, 2020",Very nice
1jx,5.0,"jun 30th, 2020",Free G of crumble cause they good people
1jx,5.0,"jun 29th, 2020","shipping came a week late, oh well tho, still great wax thanks OV"
1jx,5.0,"jun 27th, 2020",a+++
1jx,5.0,"jun 27th, 2020","Insane deal + fee sample; best vendor in the universe.
Product quality is A+ smell is as if your smelling the flower in front of you with no corners cut, much love (:"
1jx,5.0,"jun 24th, 2020",A+++
1jx,5.0,"jun 22nd, 2020","Quality gets better every time, 10/10"
1jx,5.0,"jun 21st, 2020","Quality shatter for the price, excellent stealth.  Love OV."
1jx,5.0,"jun 21st, 2020",great stealth. yabbbbbba dabbbbbbbadoooooooooooooooooooooooooooo
1jx,1.0,"jun 19th, 2020",Pine resin... not dabs. Could have died
1jx,3.0,"jun 17th, 2020","I struggle with this review for a while becuase the vendor tried to make it right.
We worked out a deal (smaller than original order) to fix issue but the taste was just as bad. Between the two I was able to move them for AT COST but had so many compliants about it. 3/5 starts is cuase his customer serivce was A+ but the shatter (both times) and crumble tasted nasty and hard to sell.
Pretty sure was pine resin. I've been talking to other and just becuase possbility of fakeness, I made 3 stars"
1jx,5.0,"jun 15th, 2020",Incredible quality for a great price. Shipping was 3 days which is standard for me. Great price for probably the best concentrate I've ordered off here or CGMC.
1jx,5.0,"jun 13th, 2020","Received with a multipack and I ordered it for someone else so I probably won't update this with a product quality report, but it looks and smells great. 
Weight is exact.
The shatter is a pale lemonade color, smooth throughout. Feels like it will crack nicely with just enough force. I have handled pull-and-snap before, and I'm not sure if it matters or if its relevant but for reference this is nice and hard."
1jx,1.0,"jun 13th, 2020","What ever I recieved it WAS NOT a cannabis concentrate of any kind.  
http://3b6clio4syptsnvvtzyxifqvtizyazgyowpp3v5f7dj3mzmfhyoy4iyd.onion/images/6630e148f5d5572d316246524d2b4e8f.jpg"
1jx,5.0,"jun 11th, 2020",aw hell yea
1jx,5.0,"jun 11th, 2020",Quick and great value everytime
1jx,5.0,"jun 11th, 2020","great stuff different then the last...
flavorful and potent..very fast shipping.."
1jx,5.0,"jun 9th, 2020",Cant wait :)
1jx,5.0,"jun 8th, 2020",If you’re looking for prepackaged wax outer viscerna has what you’re looking for this is the best prepackaged wax on the market
1jx,5.0,"jun 4th, 2020",This stuff ships so fast!
