name,id,amount,price,category,main_product_name,main_product_id,shipping_from,ratings,vendor
3.5g Sour Apple Killer (Grown by J.B.),p77,,$75,flowers,3.5g Sour Apple Killer (Grown by J.B.),p77,United States,20,ForcesOfNature
,n1o,3.5 grams,$65,flowers,7G RUNTZ TOP SHELF FLAVORS,n1s,United States,20,drgreenthumb4201
7G RUNTZ TOP SHELF FLAVORS,n1s,7 grams,$120,flowers,7G RUNTZ TOP SHELF FLAVORS,n1s,United States,20,drgreenthumb4201
TIP JAR,l0r,,$1,flowers,TIP JAR,l0r,United States,20,CatsNamedPablo
29g EXOTICS CLUB GRADE AAA+++,dil,1 ounce,$280,flowers,29g EXOTICS CLUB GRADE AAA+++,dil,United States,247,ExoticsClub
,dip,2 ounces,$550,flowers,29g EXOTICS CLUB GRADE AAA+++,dil,United States,247,ExoticsClub
,dit,4 ounces,"$1,025",flowers,29g EXOTICS CLUB GRADE AAA+++,dil,United States,247,ExoticsClub
,dj1,8 ounces,"$1,950",flowers,29g EXOTICS CLUB GRADE AAA+++,dil,United States,247,ExoticsClub
,dix,1 pound,"$3,800",flowers,29g EXOTICS CLUB GRADE AAA+++,dil,United States,247,ExoticsClub
448g Jet Fuel Flower,rlm,1 piece,"$1,949",flowers,28g JetFuel Sale + 1 preroll,pol,United States,18,triceraterps
226g Jet Fuel Flower,rli,1 piece,"$1,000",flowers,28g JetFuel Sale + 1 preroll,pol,United States,18,triceraterps
112g Jet Fuel Flower,rle,1 piece,$540,flowers,28g JetFuel Sale + 1 preroll,pol,United States,18,triceraterps
28g JetFuel Sale + 1 preroll,pol,,$139,flowers,28g JetFuel Sale + 1 preroll,pol,United States,18,triceraterps
Wedding Crasher - Outdoor (8oz),ooc,8 ounces,$599,flowers,Wedding Crasher - Outdoor (16oz),g1s,United States,18,Vendy_McVendface
Wedding Crasher - Outdoor (20oz),g1w,20 ounces,"$1,337",flowers,Wedding Crasher - Outdoor (16oz),g1s,United States,18,Vendy_McVendface
Wedding Crasher - Outdoor (24oz),g20,24 ounces,"$1,574",flowers,Wedding Crasher - Outdoor (16oz),g1s,United States,18,Vendy_McVendface
Wedding Crasher - Outdoor (32oz),g24,32 ounces,"$2,049",flowers,Wedding Crasher - Outdoor (16oz),g1s,United States,18,Vendy_McVendface
Wedding Crasher - Outdoor (40oz),g28,40 ounces,"$2,524",flowers,Wedding Crasher - Outdoor (16oz),g1s,United States,18,Vendy_McVendface
Wedding Crasher - Outdoor (48oz),g2c,48 ounces,"$2,999",flowers,Wedding Crasher - Outdoor (16oz),g1s,United States,18,Vendy_McVendface
Wedding Crasher - Outdoor (64oz),g2g,64 ounces,"$3,799",flowers,Wedding Crasher - Outdoor (16oz),g1s,United States,18,Vendy_McVendface
Wedding Crasher - Outdoor (80oz),g2k,80 ounces,"$4,559",flowers,Wedding Crasher - Outdoor (16oz),g1s,United States,18,Vendy_McVendface
Wedding Crasher - Outdoor (96oz),g2o,96 ounces,"$5,199",flowers,Wedding Crasher - Outdoor (16oz),g1s,United States,18,Vendy_McVendface
Wedding Crasher - Outdoor (16oz),g1s,,"$1,099",flowers,Wedding Crasher - Outdoor (16oz),g1s,United States,18,Vendy_McVendface
Custom Listing 5 Pounds,7dn,,"$11,000",flowers,Custom Listing 5 Pounds,7dn,United States,20,NancyBotwin2019
,otx,1 ounce,$190,flowers,DO SI DO,otp,United States,17,ExoticsClub
,ott,2 ounces,$365,flowers,DO SI DO,otp,United States,17,ExoticsClub
DO SI DO,otp,4 ounces,$700,flowers,DO SI DO,otp,United States,17,ExoticsClub
